title,origin,function,source,breadth_of_authority
Abbess or Abbot,Latin,Executive,Elected,Institutional (abbey)
Admiral of the Fleet,European,Executive,Appointed,Divisional (highest naval rank)
Agha,"Kurdish, Turkish, Persian",Administrative,Identified or Appointed (Debatable),Tribal
Aesymnetes,Greek,Executive,Elected,National
Agonothetes,Greek,Administrative,Elected,Institutional (sacred games)
Agoranomos,Greek,Executive,Elected,Institutional (marketplace)
Air Marshal,British,Administrative,Appointed,Divisional (very senior air force rank)
Aircraftman,British,Administrative,Appointed,Divisional (lowest air force rank)
Akhoond,Persian,Ceremonial,Appointed/ identified?,Institutional (mosque)
Alderman,Old English,Administrative/executive,Elected,An elected member of a city council
Allamah,Arabic,Ceremonial,Identified,Personal
Amban,Manchu,Executive/ legislative,Appointed,Provincial/ supranational
Amir al-Mu'minin,Arabic,Executive,Hereditary/ identified,National/ supranational/ tribal
Amphipole,Greek,Executive/ judicial,Elected?,National
Anax,Greek,Executive,Hereditary,Supranational
Apodektai,Greek,Administrative,Appointed,Tribal
Apostle,Greek,Ceremonial,Appointed/ Identified,Personal/ supernatural
Arahant,Pali,Ceremonial,Identified,Personal/ supernatural
Archbishop,Greek,Executive/ judicial,Appointed,Provincial (diocesan)
Archdeacon,Christian,Administrative,Appointed,Institutional (local church)
Archduchess or Archduke,German,Ceremonial/ executive,Hereditary,Courtly/ supranational
Archiater,Greek,Administrative/ executive,Appointed,Institutional (court (royal))
Archimandrite,Greek,Ceremonial/ executive,Appointed,Institutional (abbey)
Archon,Greek,Executive/ judicial,Elected,Local/ national
Archpriest,Christian,Administrative,Appointed,Provincial
Argbadh,Persian,Executive,Appointed,Institutional (castle)
Arhat,Sanskrit,Ceremonial,Identified,Personal/ supernatural
Asapatish,Persian,Executive,Appointed,Divisional (cavalry unit)
Aspet,Armenian,Executive,Hereditary,Courtly
Assistant in Virtue,Tang dynasty,Ceremonial,Appointed,Courtly
Assistant Professor,American,Administrative,Appointed,Institutional (university)
Assistant to the President & Deputy National Security Advisor,American,Executive,Appointed,National
Associate Professor,American,Administrative,Appointed,Institutional (university)
Aswaran Salar,Sasanian Empire,Executive,Appointed,Divisional (entire cavalry)
Augusta,Greek,Ceremonial,Appointed,Courtly
Ayatollah,Persian,Judicial,Appointed (based on studies at a hawza),Personal
Baivarapatish,Persian,Executive,Appointed,"Divisional (baivarabam of 10,000 soldiers)"
Bapu,Hindi,Ceremonial,Identified,Courtly/ personal
Baron or Baroness,French,Executive,Hereditary,Local
Basileus or Basilissa,Greek,Executive/ ceremonial/ judicial,Hereditary/ elected,National
Beauty,Tang dynasty,Ceremonial,Appointed,Courtly
Bishop,Christian,Executive,Appointed,Provincial (diocesan)
Blessed,Latin,Ceremonial,Appointed,Supernatural
Begum,Turkish,Ceremonial,Appointed,Courtly/ personal
Buddha,Pali/ Sanskrit,Ceremonial,Identified,Personal/ supernatural
Cardinal,Christian,Administrative,Appointed,Institutional (College of Cardinals)
Cardinal-nephew,Latin,Administrative,Appointed,Institutional (College of Cardinals)
Caesar,Latin,Ceremonial,Appointed,Courtly
Caliph,Arabic,Executive,Elected/ hereditary,Supranational
Captain (land),European,Executive,Appointed,Divisional (75- 200 soldiers)
Captain (naval),English,Executive,Appointed,Divisional (large ship)
Catholicos,Greek,Executive,Appointed,Regional
Centurion,Latin,Executive,Appointed,Divisional (80 or more soldiers)
Chairman or Chairwoman,English,Administrative/ executive/ legislative,Appointed/ elected,Institutional (Meeting)
Chakravartin,Sanskrit,Executive,Identified/ hereditary,Supranational
Chancellor,Latin,Administrative,Appointed,Courtly
Chanyu,Xiongnu,Executive,Hereditary,Tribal
Chhatrapati,Marathi,Executive,Hereditary,National/ supranational
Chief or Chieftain,Global,Executive/ judicial/ legislative,Elected/ hereditary,Tribal
Chiliarch,Greek,Executive,Appointed,"Divisional (1,000 soldiers)"
Chorbishop,Greek,Executive,Appointed,Provincial (diocesan)
Choregos,Greek,Administrative/ ceremonial,Purchased,Institutional (theatre festival)
City Manager,English,Executive,Appointed,Local
Coiffure Attendant,Tang dynasty,Ceremonial,Appointed,Courtly
Colonel,English,Honorific,Appointed/Identified,Local
Comes,Latin,Ceremonial,Appointed/ identified,Courtly/ supernatural
Commissioner,English,Executive/Legislative,Elected/Appointed,Local
Commissioner of Baseball,Amero-Canadian,Executive,Elected,Institutional (Major League Baseball)
Concubinus,Roman,Ceremonial,Appointed,Personal
Consort,Tang dynasty,Ceremonial,Appointed,Courtly
Consul,Roman,Executive/ judicial,Elected,National
Corporal,Italian,Executive,Appointed,Divisional (2nd in command of a squad of 8 to 14 soldiers)
Corrector,Latin,Executive/ judicial,Appointed,Regional
Councillor,Latin,Legislative,Elected,Local
Count or Countess,Latin,Executive,Hereditary,Provincial
